#Bucket,AimdCC-
3.006900000000000000e+04,2.586898905507900100e+03
3.007000000000000000e+04,2.596066814383700100e+03
3.007100000000000000e+04,2.600612309400200000e+03
3.007200000000000000e+04,2.605149859547400000e+03
3.007300000000000000e+04,2.609859071479700100e+03
3.007400000000000000e+04,2.614680419269399900e+03
3.007500000000000000e+04,2.619492876720400100e+03
3.007600000000000000e+04,2.624296492862200000e+03
3.007700000000000000e+04,2.629091316274800200e+03
3.007800000000000000e+04,2.629091316274800200e+03
3.007900000000000000e+04,1.884444166028800100e+03
3.008000000000000000e+04,1.891223117165699900e+03
3.008100000000000000e+04,1.897977769647300000e+03
3.008200000000000000e+04,1.904708383211800100e+03
3.008300000000000000e+04,1.911415212999600000e+03
3.008400000000000000e+04,1.918098509666200000e+03
3.008500000000000000e+04,1.924758519492200100e+03
3.008600000000000000e+04,1.931407676893900100e+03
3.008700000000000000e+04,1.938033943585000100e+03
3.008800000000000000e+04,1.944477211430999900e+03
3.008900000000000000e+04,1.950899128705100100e+03
3.009000000000000000e+04,1.957299906484699900e+03
3.009100000000000000e+04,1.963864258119300100e+03
3.009200000000000000e+04,1.970406667956200000e+03
3.009300000000000000e+04,1.976927354801900000e+03
3.009400000000000000e+04,1.983565021437900000e+03
3.009500000000000000e+04,1.990180476239100000e+03
3.009600000000000000e+04,1.996773940953100000e+03
3.009700000000000000e+04,2.003345633659799900e+03
3.009800000000000000e+04,2.009895768855700000e+03
3.009900000000000000e+04,2.016321145919200000e+03
3.010000000000000000e+04,2.022401792060900100e+03
3.010100000000000000e+04,2.028464155852500000e+03
3.010200000000000000e+04,2.034508401377400100e+03
3.010300000000000000e+04,2.034508401377400100e+03
3.010400000000000000e+04,2.045909350895200100e+03
3.010500000000000000e+04,2.051586000966699900e+03
3.010600000000000000e+04,2.057274366378500000e+03
3.010700000000000000e+04,2.062947003455000000e+03
3.010800000000000000e+04,2.068604042064199800e+03
3.010900000000000000e+04,2.074041959343499900e+03
3.011000000000000000e+04,2.079626722264999900e+03
3.011100000000000000e+04,2.085196487506199900e+03
3.011200000000000000e+04,2.090751375355600000e+03
3.011300000000000000e+04,2.096386235004700200e+03
