#Bucket,QLearnCC-
1.218100000000000000e+04,2.100000000000000000e+04
1.218200000000000000e+04,2.250000000000000000e+04
1.218300000000000000e+04,2.100000000000000000e+04
1.218400000000000000e+04,2.250000000000000000e+04
1.218500000000000000e+04,2.100000000000000000e+04
1.218600000000000000e+04,2.100000000000000000e+04
1.218700000000000000e+04,2.250000000000000000e+04
1.218800000000000000e+04,2.100000000000000000e+04
1.218900000000000000e+04,2.250000000000000000e+04
1.219000000000000000e+04,2.100000000000000000e+04
1.219100000000000000e+04,2.250000000000000000e+04
1.219200000000000000e+04,2.400000000000000000e+04
1.219300000000000000e+04,2.250000000000000000e+04
1.219400000000000000e+04,2.100000000000000000e+04
1.219500000000000000e+04,2.250000000000000000e+04
1.219600000000000000e+04,2.100000000000000000e+04
1.219700000000000000e+04,2.250000000000000000e+04
1.219800000000000000e+04,2.100000000000000000e+04
1.219900000000000000e+04,1.950000000000000000e+04
1.220000000000000000e+04,2.100000000000000000e+04
1.220100000000000000e+04,2.250000000000000000e+04
1.220200000000000000e+04,2.100000000000000000e+04
1.220300000000000000e+04,2.250000000000000000e+04
1.220400000000000000e+04,2.100000000000000000e+04
1.220500000000000000e+04,2.250000000000000000e+04
1.220600000000000000e+04,2.100000000000000000e+04
1.220700000000000000e+04,2.250000000000000000e+04
1.220800000000000000e+04,2.100000000000000000e+04
1.220900000000000000e+04,2.250000000000000000e+04
1.221000000000000000e+04,2.100000000000000000e+04
1.221100000000000000e+04,2.250000000000000000e+04
1.221200000000000000e+04,2.100000000000000000e+04
1.221300000000000000e+04,2.250000000000000000e+04
1.221400000000000000e+04,2.100000000000000000e+04
1.221500000000000000e+04,2.250000000000000000e+04
1.221600000000000000e+04,2.100000000000000000e+04
1.221700000000000000e+04,2.250000000000000000e+04
1.221800000000000000e+04,2.100000000000000000e+04
1.221900000000000000e+04,2.100000000000000000e+04
1.222000000000000000e+04,2.250000000000000000e+04
1.222100000000000000e+04,2.100000000000000000e+04
1.222200000000000000e+04,2.250000000000000000e+04
1.222300000000000000e+04,2.100000000000000000e+04
1.222400000000000000e+04,2.250000000000000000e+04
1.222500000000000000e+04,2.100000000000000000e+04
1.222600000000000000e+04,2.250000000000000000e+04
1.222700000000000000e+04,2.100000000000000000e+04
1.222800000000000000e+04,2.250000000000000000e+04
1.222900000000000000e+04,2.100000000000000000e+04
1.223000000000000000e+04,2.250000000000000000e+04
1.223100000000000000e+04,2.100000000000000000e+04
1.223200000000000000e+04,2.250000000000000000e+04
1.223300000000000000e+04,2.100000000000000000e+04
1.223400000000000000e+04,2.250000000000000000e+04
1.223500000000000000e+04,2.100000000000000000e+04
1.223600000000000000e+04,2.250000000000000000e+04
1.223700000000000000e+04,2.100000000000000000e+04
1.223800000000000000e+04,2.250000000000000000e+04
1.223900000000000000e+04,2.100000000000000000e+04
1.224000000000000000e+04,2.250000000000000000e+04
1.224100000000000000e+04,2.100000000000000000e+04
1.224200000000000000e+04,2.250000000000000000e+04
1.224300000000000000e+04,2.100000000000000000e+04
1.224400000000000000e+04,2.250000000000000000e+04
1.224500000000000000e+04,2.100000000000000000e+04
1.224600000000000000e+04,2.250000000000000000e+04
1.224700000000000000e+04,2.100000000000000000e+04
1.224800000000000000e+04,2.250000000000000000e+04
1.224900000000000000e+04,2.100000000000000000e+04
1.225000000000000000e+04,2.250000000000000000e+04
1.225100000000000000e+04,2.400000000000000000e+04
1.225200000000000000e+04,2.250000000000000000e+04
1.225300000000000000e+04,2.100000000000000000e+04
1.225400000000000000e+04,2.250000000000000000e+04
1.225500000000000000e+04,2.100000000000000000e+04
1.225600000000000000e+04,2.250000000000000000e+04
1.225700000000000000e+04,2.100000000000000000e+04
1.225800000000000000e+04,2.250000000000000000e+04
1.225900000000000000e+04,2.100000000000000000e+04
1.226000000000000000e+04,2.250000000000000000e+04
1.226100000000000000e+04,2.100000000000000000e+04
1.226200000000000000e+04,2.250000000000000000e+04
1.226300000000000000e+04,2.250000000000000000e+04
1.226400000000000000e+04,2.100000000000000000e+04
1.226500000000000000e+04,2.250000000000000000e+04
1.226600000000000000e+04,2.100000000000000000e+04
1.226700000000000000e+04,2.250000000000000000e+04
1.226800000000000000e+04,2.100000000000000000e+04
1.226900000000000000e+04,2.250000000000000000e+04
1.227000000000000000e+04,2.100000000000000000e+04
1.227100000000000000e+04,2.250000000000000000e+04
1.227200000000000000e+04,2.100000000000000000e+04
1.227300000000000000e+04,2.250000000000000000e+04
1.227400000000000000e+04,2.100000000000000000e+04
1.227500000000000000e+04,2.250000000000000000e+04
1.227600000000000000e+04,2.100000000000000000e+04
1.227700000000000000e+04,2.250000000000000000e+04
1.227800000000000000e+04,2.100000000000000000e+04
1.227900000000000000e+04,2.250000000000000000e+04
1.228000000000000000e+04,2.100000000000000000e+04
1.228100000000000000e+04,2.250000000000000000e+04
1.228200000000000000e+04,2.100000000000000000e+04
1.228300000000000000e+04,2.250000000000000000e+04
1.228400000000000000e+04,2.100000000000000000e+04
