#Bucket,PerfectCC-
1.530000000000000000e+02,4.330100000000000000e+04
1.540000000000000000e+02,4.335400000000000000e+04
1.550000000000000000e+02,4.377800000000000000e+04
1.560000000000000000e+02,4.314200000000000000e+04
1.570000000000000000e+02,4.399000000000000000e+04
1.580000000000000000e+02,4.308900000000000000e+04
1.590000000000000000e+02,4.430800000000000000e+04
1.600000000000000000e+02,4.160500000000000000e+04
1.610000000000000000e+02,4.404300000000000000e+04
1.620000000000000000e+02,4.367200000000000000e+04
1.630000000000000000e+02,4.187000000000000000e+04
1.640000000000000000e+02,4.520900000000000000e+04
1.650000000000000000e+02,4.298300000000000000e+04
1.660000000000000000e+02,4.356600000000000000e+04
1.670000000000000000e+02,4.298300000000000000e+04
1.680000000000000000e+02,4.271800000000000000e+04
1.690000000000000000e+02,4.462600000000000000e+04
1.700000000000000000e+02,4.277100000000000000e+04
1.710000000000000000e+02,4.287700000000000000e+04
1.720000000000000000e+02,4.346000000000000000e+04
1.730000000000000000e+02,4.314200000000000000e+04
1.740000000000000000e+02,4.383100000000000000e+04
1.750000000000000000e+02,4.351300000000000000e+04
1.760000000000000000e+02,4.324800000000000000e+04
1.770000000000000000e+02,4.277100000000000000e+04
1.780000000000000000e+02,4.409600000000000000e+04
1.790000000000000000e+02,4.298300000000000000e+04
1.800000000000000000e+02,4.308900000000000000e+04
1.810000000000000000e+02,4.351300000000000000e+04
1.820000000000000000e+02,4.383100000000000000e+04
1.830000000000000000e+02,4.319500000000000000e+04
1.840000000000000000e+02,4.335400000000000000e+04
1.850000000000000000e+02,4.266500000000000000e+04
1.860000000000000000e+02,4.473200000000000000e+04
1.870000000000000000e+02,4.192300000000000000e+04
1.880000000000000000e+02,4.457300000000000000e+04
1.890000000000000000e+02,4.240000000000000000e+04
1.900000000000000000e+02,4.409600000000000000e+04
1.910000000000000000e+02,4.293000000000000000e+04
1.920000000000000000e+02,4.340700000000000000e+04
1.930000000000000000e+02,4.361900000000000000e+04
1.940000000000000000e+02,4.330100000000000000e+04
1.950000000000000000e+02,4.282400000000000000e+04
1.960000000000000000e+02,4.414900000000000000e+04
1.970000000000000000e+02,4.335400000000000000e+04
1.980000000000000000e+02,4.266500000000000000e+04
1.990000000000000000e+02,4.383100000000000000e+04
2.000000000000000000e+02,4.266500000000000000e+04
