#Bucket,AimdCC-delay=50ms
7.030000000000000000e+02,5.067700033584609600e+03
7.040000000000000000e+02,5.189621693534949400e+03
7.050000000000000000e+02,5.308171908270409400e+03
7.060000000000000000e+02,5.424477300378390300e+03
7.070000000000000000e+02,5.538283114226529500e+03
7.080000000000000000e+02,5.647785424690599900e+03
7.090000000000000000e+02,5.756401640128970000e+03
7.100000000000000000e+02,5.864431202322899500e+03
7.110000000000000000e+02,5.798451511566309800e+03
7.120000000000000000e+02,4.351045464964519900e+03
7.130000000000000000e+02,4.445820014521739700e+03
7.140000000000000000e+02,4.555341077342909600e+03
7.150000000000000000e+02,4.150304159562309900e+03
7.160000000000000000e+02,3.465529527933710100e+03
7.170000000000000000e+02,3.583910474516540000e+03
7.180000000000000000e+02,3.698768979822019900e+03
7.190000000000000000e+02,3.809760904136349400e+03
7.200000000000000000e+02,3.917790878319319700e+03
7.210000000000000000e+02,4.023074861435429700e+03
7.220000000000000000e+02,4.125038967221689700e+03
7.230000000000000000e+02,4.224177404819030000e+03
7.240000000000000000e+02,4.320952612721359400e+03
7.250000000000000000e+02,4.035463406388480500e+03
7.260000000000000000e+02,3.264075652057370000e+03
7.270000000000000000e+02,3.389024223807200100e+03
7.280000000000000000e+02,3.510517065588070600e+03
7.290000000000000000e+02,3.628091569094959600e+03
7.300000000000000000e+02,3.741970919672499300e+03
7.310000000000000000e+02,3.852121395091390200e+03
7.320000000000000000e+02,3.959281665737579300e+03
7.330000000000000000e+02,4.063865632050569700e+03
7.340000000000000000e+02,4.165429330308119500e+03
7.350000000000000000e+02,4.264381559120070100e+03
7.360000000000000000e+02,4.357213895226950600e+03
7.370000000000000000e+02,4.450473172938359300e+03
7.380000000000000000e+02,4.563116574215820000e+03
7.390000000000000000e+02,4.697747988942920500e+03
7.400000000000000000e+02,4.828599832356259900e+03
7.410000000000000000e+02,4.952232393226329800e+03
7.420000000000000000e+02,5.076904160932300300e+03
7.430000000000000000e+02,5.198547974840060300e+03
7.440000000000000000e+02,5.317534216054779800e+03
7.450000000000000000e+02,5.431594197123779800e+03
7.460000000000000000e+02,5.545298751273980100e+03
7.470000000000000000e+02,5.656061596987119600e+03
7.480000000000000000e+02,5.762033161685360000e+03
7.490000000000000000e+02,5.866492995837620600e+03
7.500000000000000000e+02,5.971658541561219900e+03
7.510000000000000000e+02,6.094273138318250900e+03
7.520000000000000000e+02,4.445927914972099600e+03
7.530000000000000000e+02,4.554772495995689500e+03
7.540000000000000000e+02,4.689894383317140600e+03
7.550000000000000000e+02,4.819845285187029700e+03
7.560000000000000000e+02,4.946655203679340000e+03
7.570000000000000000e+02,5.069451038788299200e+03
7.580000000000000000e+02,5.190227166354209700e+03
7.590000000000000000e+02,5.307387090585520100e+03
7.600000000000000000e+02,5.424623735845410900e+03
7.610000000000000000e+02,5.538342155930690800e+03
7.620000000000000000e+02,5.648171641340390100e+03
7.630000000000000000e+02,5.751514793379100400e+03
7.640000000000000000e+02,5.854985373214160100e+03
7.650000000000000000e+02,5.959560131258758700e+03
7.660000000000000000e+02,6.082975639128601000e+03
7.670000000000000000e+02,6.219672939633559500e+03
7.680000000000000000e+02,6.353484775020011500e+03
7.690000000000000000e+02,6.483558962552850100e+03
7.700000000000000000e+02,6.599657407677290400e+03
7.710000000000000000e+02,6.715272366322499700e+03
7.720000000000000000e+02,6.833694927322940200e+03
7.730000000000000000e+02,6.948434045548479800e+03
7.740000000000000000e+02,7.063611570500540400e+03
7.750000000000000000e+02,7.177882332000621300e+03
7.760000000000000000e+02,4.179595908444171100e+03
7.770000000000000000e+02,3.843172345597280100e+03
7.780000000000000000e+02,3.041363307337799600e+03
7.790000000000000000e+02,2.890410952237340100e+03
7.800000000000000000e+02,2.961702527636179600e+03
7.810000000000000000e+02,3.061595685035050300e+03
