#Bucket,PerfectCC-
1.078000000000000000e+03,9.057700000000000000e+04
1.079000000000000000e+03,9.211400000000000000e+04
1.080000000000000000e+03,9.047100000000000000e+04
1.081000000000000000e+03,8.819200000000000000e+04
1.082000000000000000e+03,8.983500000000000000e+04
1.083000000000000000e+03,9.094800000000000000e+04
1.084000000000000000e+03,8.798000000000000000e+04
1.085000000000000000e+03,9.057700000000000000e+04
1.086000000000000000e+03,8.877500000000000000e+04
1.087000000000000000e+03,9.004700000000000000e+04
1.088000000000000000e+03,8.851000000000000000e+04
1.089000000000000000e+03,9.025900000000000000e+04
1.090000000000000000e+03,8.803300000000000000e+04
1.091000000000000000e+03,8.925200000000000000e+04
1.092000000000000000e+03,9.094800000000000000e+04
1.093000000000000000e+03,8.851000000000000000e+04
1.094000000000000000e+03,8.941100000000000000e+04
1.095000000000000000e+03,9.031200000000000000e+04
1.096000000000000000e+03,9.036500000000000000e+04
1.097000000000000000e+03,8.819200000000000000e+04
1.098000000000000000e+03,8.898700000000000000e+04
1.099000000000000000e+03,8.697300000000000000e+04
1.100000000000000000e+03,8.813900000000000000e+04
1.101000000000000000e+03,9.142500000000000000e+04
1.102000000000000000e+03,8.829800000000000000e+04
1.103000000000000000e+03,8.978200000000000000e+04
1.104000000000000000e+03,9.195500000000000000e+04
1.105000000000000000e+03,8.601900000000000000e+04
1.106000000000000000e+03,9.153100000000000000e+04
1.107000000000000000e+03,9.031200000000000000e+04
1.108000000000000000e+03,8.994100000000000000e+04
1.109000000000000000e+03,9.174300000000000000e+04
1.110000000000000000e+03,9.068300000000000000e+04
1.111000000000000000e+03,8.904000000000000000e+04
1.112000000000000000e+03,9.333300000000000000e+04
1.113000000000000000e+03,8.861600000000000000e+04
1.114000000000000000e+03,8.925200000000000000e+04
1.115000000000000000e+03,8.866900000000000000e+04
1.116000000000000000e+03,8.872200000000000000e+04
1.117000000000000000e+03,8.824500000000000000e+04
1.118000000000000000e+03,8.972900000000000000e+04
1.119000000000000000e+03,8.782100000000000000e+04
1.120000000000000000e+03,9.089500000000000000e+04
1.121000000000000000e+03,8.925200000000000000e+04
1.122000000000000000e+03,8.962300000000000000e+04
1.123000000000000000e+03,8.718500000000000000e+04
1.124000000000000000e+03,8.872200000000000000e+04
1.125000000000000000e+03,8.946400000000000000e+04
1.126000000000000000e+03,9.047100000000000000e+04
1.127000000000000000e+03,8.872200000000000000e+04
1.128000000000000000e+03,9.222000000000000000e+04
1.129000000000000000e+03,8.792700000000000000e+04
1.130000000000000000e+03,9.153100000000000000e+04
1.131000000000000000e+03,8.925200000000000000e+04
1.132000000000000000e+03,8.914600000000000000e+04
1.133000000000000000e+03,8.957000000000000000e+04
1.134000000000000000e+03,8.893400000000000000e+04
1.135000000000000000e+03,9.153100000000000000e+04
1.136000000000000000e+03,8.994100000000000000e+04
1.137000000000000000e+03,9.041800000000000000e+04
1.138000000000000000e+03,8.967600000000000000e+04
1.139000000000000000e+03,8.856300000000000000e+04
1.140000000000000000e+03,9.100100000000000000e+04
1.141000000000000000e+03,8.904000000000000000e+04
1.142000000000000000e+03,9.110700000000000000e+04
1.143000000000000000e+03,8.914600000000000000e+04
1.144000000000000000e+03,8.988800000000000000e+04
1.145000000000000000e+03,8.824500000000000000e+04
1.146000000000000000e+03,8.898700000000000000e+04
1.147000000000000000e+03,8.872200000000000000e+04
1.148000000000000000e+03,9.015300000000000000e+04
1.149000000000000000e+03,8.925200000000000000e+04
1.150000000000000000e+03,9.063000000000000000e+04
1.151000000000000000e+03,8.835100000000000000e+04
1.152000000000000000e+03,9.110700000000000000e+04
1.153000000000000000e+03,8.930500000000000000e+04
1.154000000000000000e+03,9.169000000000000000e+04
1.155000000000000000e+03,8.829800000000000000e+04
1.156000000000000000e+03,9.137200000000000000e+04
1.157000000000000000e+03,9.041800000000000000e+04
1.158000000000000000e+03,9.015300000000000000e+04
1.159000000000000000e+03,8.941100000000000000e+04
1.160000000000000000e+03,8.983500000000000000e+04
1.161000000000000000e+03,9.031200000000000000e+04
1.162000000000000000e+03,8.946400000000000000e+04
1.163000000000000000e+03,8.707900000000000000e+04
1.164000000000000000e+03,8.803300000000000000e+04
1.165000000000000000e+03,9.147800000000000000e+04
1.166000000000000000e+03,8.755600000000000000e+04
1.167000000000000000e+03,8.776800000000000000e+04
1.168000000000000000e+03,8.909300000000000000e+04
1.169000000000000000e+03,8.718500000000000000e+04
1.170000000000000000e+03,9.020600000000000000e+04
1.171000000000000000e+03,8.813900000000000000e+04
1.172000000000000000e+03,8.792700000000000000e+04
1.173000000000000000e+03,8.771500000000000000e+04
1.174000000000000000e+03,8.957000000000000000e+04
1.175000000000000000e+03,8.718500000000000000e+04
1.176000000000000000e+03,8.983500000000000000e+04
1.177000000000000000e+03,8.861600000000000000e+04
1.178000000000000000e+03,9.068300000000000000e+04
1.179000000000000000e+03,8.760900000000000000e+04
1.180000000000000000e+03,8.935800000000000000e+04
1.181000000000000000e+03,8.819200000000000000e+04
1.182000000000000000e+03,8.988800000000000000e+04
1.183000000000000000e+03,8.877500000000000000e+04
1.184000000000000000e+03,8.813900000000000000e+04
1.185000000000000000e+03,8.988800000000000000e+04
1.186000000000000000e+03,8.962300000000000000e+04
1.187000000000000000e+03,8.480000000000000000e+04
1.188000000000000000e+03,9.068300000000000000e+04
1.189000000000000000e+03,8.861600000000000000e+04
1.190000000000000000e+03,8.957000000000000000e+04
1.191000000000000000e+03,8.713200000000000000e+04
1.192000000000000000e+03,8.819200000000000000e+04
1.193000000000000000e+03,9.036500000000000000e+04
1.194000000000000000e+03,9.100100000000000000e+04
1.195000000000000000e+03,8.861600000000000000e+04
1.196000000000000000e+03,8.946400000000000000e+04
1.197000000000000000e+03,8.967600000000000000e+04
1.198000000000000000e+03,8.803300000000000000e+04
1.199000000000000000e+03,8.813900000000000000e+04
1.200000000000000000e+03,9.137200000000000000e+04
1.201000000000000000e+03,8.882800000000000000e+04
1.202000000000000000e+03,9.047100000000000000e+04
1.203000000000000000e+03,8.771500000000000000e+04
1.204000000000000000e+03,9.078900000000000000e+04
1.205000000000000000e+03,8.845700000000000000e+04
1.206000000000000000e+03,9.094800000000000000e+04
1.207000000000000000e+03,8.983500000000000000e+04
1.208000000000000000e+03,8.617800000000000000e+04
1.209000000000000000e+03,8.898700000000000000e+04
1.210000000000000000e+03,8.872200000000000000e+04
1.211000000000000000e+03,8.670800000000000000e+04
1.212000000000000000e+03,9.073600000000000000e+04
1.213000000000000000e+03,8.967600000000000000e+04
1.214000000000000000e+03,9.068300000000000000e+04
1.215000000000000000e+03,8.745000000000000000e+04
1.216000000000000000e+03,9.041800000000000000e+04
1.217000000000000000e+03,8.776800000000000000e+04
1.218000000000000000e+03,9.031200000000000000e+04
1.219000000000000000e+03,8.718500000000000000e+04
1.220000000000000000e+03,9.259100000000000000e+04
1.221000000000000000e+03,8.835100000000000000e+04
1.222000000000000000e+03,8.941100000000000000e+04
1.223000000000000000e+03,8.734400000000000000e+04
1.224000000000000000e+03,8.930500000000000000e+04
1.225000000000000000e+03,8.978200000000000000e+04
1.226000000000000000e+03,8.697300000000000000e+04
1.227000000000000000e+03,9.169000000000000000e+04
1.228000000000000000e+03,8.935800000000000000e+04
1.229000000000000000e+03,9.084200000000000000e+04
1.230000000000000000e+03,8.845700000000000000e+04
1.231000000000000000e+03,9.015300000000000000e+04
1.232000000000000000e+03,8.739700000000000000e+04
1.233000000000000000e+03,9.004700000000000000e+04
1.234000000000000000e+03,8.548900000000000000e+04
1.235000000000000000e+03,8.925200000000000000e+04
1.236000000000000000e+03,8.946400000000000000e+04
1.237000000000000000e+03,8.692000000000000000e+04
1.238000000000000000e+03,8.856300000000000000e+04
1.239000000000000000e+03,8.904000000000000000e+04
1.240000000000000000e+03,8.877500000000000000e+04
1.241000000000000000e+03,8.813900000000000000e+04
1.242000000000000000e+03,9.105400000000000000e+04
1.243000000000000000e+03,8.792700000000000000e+04
1.244000000000000000e+03,8.930500000000000000e+04
1.245000000000000000e+03,8.888100000000000000e+04
1.246000000000000000e+03,8.872200000000000000e+04
1.247000000000000000e+03,8.829800000000000000e+04
1.248000000000000000e+03,8.925200000000000000e+04
1.249000000000000000e+03,9.031200000000000000e+04
1.250000000000000000e+03,9.174300000000000000e+04
1.251000000000000000e+03,8.978200000000000000e+04
1.252000000000000000e+03,8.872200000000000000e+04
1.253000000000000000e+03,9.131900000000000000e+04
1.254000000000000000e+03,8.527700000000000000e+04
1.255000000000000000e+03,8.999400000000000000e+04
1.256000000000000000e+03,9.015300000000000000e+04
1.257000000000000000e+03,8.633700000000000000e+04
1.258000000000000000e+03,9.084200000000000000e+04
