#Bucket,BasicCC-
6.700000000000000000e+01,1.095900000000000000e+04
6.800000000000000000e+01,1.098000000000000000e+04
6.900000000000000000e+01,1.094600000000000000e+04
7.000000000000000000e+01,1.096700000000000000e+04
7.100000000000000000e+01,1.093000000000000000e+04
7.200000000000000000e+01,1.101200000000000000e+04
7.300000000000000000e+01,1.094600000000000000e+04
7.400000000000000000e+01,1.095700000000000000e+04
7.500000000000000000e+01,1.103800000000000000e+04
7.600000000000000000e+01,1.091700000000000000e+04
7.700000000000000000e+01,1.098900000000000000e+04
7.800000000000000000e+01,1.090500000000000000e+04
7.900000000000000000e+01,1.108000000000000000e+04
8.000000000000000000e+01,1.093300000000000000e+04
8.100000000000000000e+01,1.092300000000000000e+04
8.200000000000000000e+01,1.097600000000000000e+04
8.300000000000000000e+01,1.104600000000000000e+04
8.400000000000000000e+01,1.089500000000000000e+04
8.500000000000000000e+01,1.101000000000000000e+04
8.600000000000000000e+01,1.089900000000000000e+04
8.700000000000000000e+01,1.097700000000000000e+04
8.800000000000000000e+01,1.100700000000000000e+04
8.900000000000000000e+01,1.092000000000000000e+04
9.000000000000000000e+01,1.096400000000000000e+04
9.100000000000000000e+01,1.093200000000000000e+04
9.200000000000000000e+01,1.100000000000000000e+04
9.300000000000000000e+01,1.090100000000000000e+04
9.400000000000000000e+01,1.098200000000000000e+04
9.500000000000000000e+01,1.097400000000000000e+04
9.600000000000000000e+01,1.095100000000000000e+04
9.700000000000000000e+01,1.093800000000000000e+04
9.800000000000000000e+01,1.101900000000000000e+04
9.900000000000000000e+01,1.095700000000000000e+04
1.000000000000000000e+02,1.094000000000000000e+04
1.010000000000000000e+02,1.097900000000000000e+04
1.020000000000000000e+02,1.094900000000000000e+04
1.030000000000000000e+02,1.099100000000000000e+04
1.040000000000000000e+02,1.092600000000000000e+04
1.050000000000000000e+02,1.097700000000000000e+04
1.060000000000000000e+02,1.098700000000000000e+04
1.070000000000000000e+02,1.092800000000000000e+04
1.080000000000000000e+02,1.095100000000000000e+04
1.090000000000000000e+02,1.102300000000000000e+04
1.100000000000000000e+02,1.094100000000000000e+04
1.110000000000000000e+02,1.099300000000000000e+04
1.120000000000000000e+02,1.098900000000000000e+04
1.130000000000000000e+02,1.090900000000000000e+04
1.140000000000000000e+02,1.097100000000000000e+04
1.150000000000000000e+02,1.094300000000000000e+04
1.160000000000000000e+02,1.102700000000000000e+04
1.170000000000000000e+02,1.091400000000000000e+04
1.180000000000000000e+02,1.101400000000000000e+04
1.190000000000000000e+02,1.091600000000000000e+04
1.200000000000000000e+02,1.104700000000000000e+04
1.210000000000000000e+02,1.097700000000000000e+04
1.220000000000000000e+02,1.093500000000000000e+04
1.230000000000000000e+02,1.099000000000000000e+04
1.240000000000000000e+02,1.085200000000000000e+04
