#Bucket,QLearnCC-
8.100000000000000000e+01,1.104899999999999900e+01
8.200000000000000000e+01,1.036600000000000000e+01
8.300000000000000000e+01,7.661999999999999900e+00
8.400000000000000000e+01,1.023100000000000000e+01
8.500000000000000000e+01,9.586000000000000300e+00
8.600000000000000000e+01,1.040700000000000000e+01
8.700000000000000000e+01,9.788999999999999700e+00
8.800000000000000000e+01,8.311999999999999400e+00
8.900000000000000000e+01,8.012999999999999900e+00
9.000000000000000000e+01,7.384999999999999800e+00
9.100000000000000000e+01,7.726000000000000000e+00
9.200000000000000000e+01,8.907000000000000000e+00
9.300000000000000000e+01,9.320000000000000300e+00
9.400000000000000000e+01,1.229400000000000000e+01
9.500000000000000000e+01,9.590999999999999300e+00
9.600000000000000000e+01,1.050600000000000000e+01
9.700000000000000000e+01,1.002999999999999900e+01
9.800000000000000000e+01,1.112599999999999900e+01
9.900000000000000000e+01,9.930999999999999200e+00
1.000000000000000000e+02,9.096999999999999500e+00
1.010000000000000000e+02,1.099300000000000000e+01
1.020000000000000000e+02,1.192600000000000000e+01
1.030000000000000000e+02,1.215900000000000100e+01
1.040000000000000000e+02,1.044300000000000000e+01
1.050000000000000000e+02,1.209399999999999900e+01
1.060000000000000000e+02,1.334300000000000000e+01
1.070000000000000000e+02,1.596000000000000100e+01
1.080000000000000000e+02,1.182700000000000000e+01
1.090000000000000000e+02,1.324400000000000000e+01
1.100000000000000000e+02,1.028900000000000000e+01
1.110000000000000000e+02,7.500000000000000000e+00
1.120000000000000000e+02,7.020999999999999900e+00
1.130000000000000000e+02,6.575000000000000200e+00
1.140000000000000000e+02,7.432000000000000400e+00
1.150000000000000000e+02,8.432999999999999800e+00
1.160000000000000000e+02,8.593999999999999400e+00
1.170000000000000000e+02,7.378000000000000100e+00
1.180000000000000000e+02,7.073000000000000400e+00
1.190000000000000000e+02,7.346000000000000100e+00
1.200000000000000000e+02,6.107999999999999700e+00
1.210000000000000000e+02,7.240999999999999700e+00
1.220000000000000000e+02,6.083999999999999600e+00
1.230000000000000000e+02,7.288999999999999700e+00
1.240000000000000000e+02,6.472000000000000400e+00
1.250000000000000000e+02,7.113999999999999900e+00
1.260000000000000000e+02,7.277000000000000100e+00
1.270000000000000000e+02,6.971000000000000100e+00
1.280000000000000000e+02,6.666999999999999800e+00
1.290000000000000000e+02,7.069000000000000000e+00
1.300000000000000000e+02,8.342000000000000500e+00
1.310000000000000000e+02,7.371000000000000400e+00
