#Bucket,AimdCC-
1.420000000000000000e+02,4.575633099999999800e+04
1.430000000000000000e+02,4.625818800000000200e+04
1.440000000000000000e+02,4.650177599999999800e+04
1.450000000000000000e+02,4.760014800000000100e+04
1.460000000000000000e+02,4.607125699999999800e+04
1.470000000000000000e+02,4.579798900000000100e+04
1.480000000000000000e+02,4.579730000000000300e+04
1.490000000000000000e+02,4.561895500000000200e+04
1.500000000000000000e+02,4.705970700000000200e+04
1.510000000000000000e+02,4.746934399999999700e+04
1.520000000000000000e+02,4.560777199999999700e+04
1.530000000000000000e+02,4.598322400000000200e+04
1.540000000000000000e+02,4.585941599999999700e+04
1.550000000000000000e+02,4.626105000000000300e+04
1.560000000000000000e+02,4.712060399999999900e+04
1.570000000000000000e+02,4.731007899999999800e+04
1.580000000000000000e+02,4.677737599999999700e+04
1.590000000000000000e+02,4.684563999999999900e+04
1.600000000000000000e+02,4.601316900000000200e+04
1.610000000000000000e+02,4.584060100000000200e+04
1.620000000000000000e+02,4.725835100000000200e+04
1.630000000000000000e+02,4.719363799999999900e+04
1.640000000000000000e+02,4.746187099999999900e+04
1.650000000000000000e+02,4.677695199999999700e+04
1.660000000000000000e+02,4.625733999999999700e+04
1.670000000000000000e+02,4.660343000000000000e+04
1.680000000000000000e+02,4.762436899999999900e+04
1.690000000000000000e+02,4.780032899999999800e+04
1.700000000000000000e+02,4.785974199999999800e+04
1.710000000000000000e+02,4.633599199999999800e+04
1.720000000000000000e+02,4.509944900000000100e+04
1.730000000000000000e+02,4.638973399999999700e+04
1.740000000000000000e+02,4.597638700000000200e+04
1.750000000000000000e+02,4.637303899999999700e+04
1.760000000000000000e+02,4.715277500000000100e+04
1.770000000000000000e+02,4.776736299999999800e+04
1.780000000000000000e+02,4.708732000000000000e+04
1.790000000000000000e+02,4.759511299999999800e+04
1.800000000000000000e+02,4.630000499999999700e+04
1.810000000000000000e+02,4.636302199999999700e+04
1.820000000000000000e+02,4.622840200000000200e+04
1.830000000000000000e+02,4.657237200000000300e+04
1.840000000000000000e+02,4.653930000000000300e+04
1.850000000000000000e+02,4.615499700000000300e+04
1.860000000000000000e+02,4.627016599999999700e+04
1.870000000000000000e+02,4.651348900000000100e+04
1.880000000000000000e+02,4.688406500000000200e+04
1.890000000000000000e+02,4.601825699999999800e+04
1.900000000000000000e+02,4.676640499999999900e+04
1.910000000000000000e+02,4.649684700000000200e+04
1.920000000000000000e+02,4.638501700000000000e+04
1.930000000000000000e+02,4.500420799999999900e+04
1.940000000000000000e+02,4.678257000000000000e+04
1.950000000000000000e+02,4.687622099999999800e+04
1.960000000000000000e+02,4.693913199999999800e+04
1.970000000000000000e+02,4.678776400000000300e+04
1.980000000000000000e+02,4.709839699999999700e+04
1.990000000000000000e+02,4.604459799999999800e+04
2.000000000000000000e+02,0.000000000000000000e+00
