#Bucket,QLearnCC-
1.003900000000000000e+04,4.510000000000000000e+02
1.004000000000000000e+04,4.780000000000000000e+02
1.004100000000000000e+04,4.900000000000000000e+02
1.004200000000000000e+04,4.410000000000000000e+02
1.004300000000000000e+04,4.680000000000000000e+02
1.004400000000000000e+04,4.090000000000000000e+02
1.004500000000000000e+04,4.340000000000000000e+02
1.004600000000000000e+04,4.550000000000000000e+02
1.004700000000000000e+04,3.800000000000000000e+02
1.004800000000000000e+04,4.180000000000000000e+02
1.004900000000000000e+04,4.160000000000000000e+02
1.005000000000000000e+04,3.930000000000000000e+02
1.005100000000000000e+04,4.230000000000000000e+02
1.005200000000000000e+04,3.860000000000000000e+02
1.005300000000000000e+04,3.930000000000000000e+02
1.005400000000000000e+04,3.560000000000000000e+02
1.005500000000000000e+04,3.940000000000000000e+02
1.005600000000000000e+04,3.480000000000000000e+02
1.005700000000000000e+04,3.820000000000000000e+02
1.005800000000000000e+04,3.200000000000000000e+02
1.005900000000000000e+04,3.500000000000000000e+02
1.006000000000000000e+04,3.120000000000000000e+02
1.006100000000000000e+04,3.630000000000000000e+02
1.006200000000000000e+04,3.280000000000000000e+02
1.006300000000000000e+04,2.990000000000000000e+02
1.006400000000000000e+04,3.500000000000000000e+02
1.006500000000000000e+04,3.210000000000000000e+02
1.006600000000000000e+04,2.930000000000000000e+02
1.006700000000000000e+04,3.010000000000000000e+02
1.006800000000000000e+04,2.850000000000000000e+02
1.006900000000000000e+04,2.730000000000000000e+02
1.007000000000000000e+04,2.620000000000000000e+02
1.007100000000000000e+04,2.690000000000000000e+02
1.007200000000000000e+04,3.040000000000000000e+02
1.007300000000000000e+04,2.700000000000000000e+02
1.007400000000000000e+04,2.930000000000000000e+02
1.007500000000000000e+04,2.530000000000000000e+02
1.007600000000000000e+04,2.560000000000000000e+02
1.007700000000000000e+04,2.460000000000000000e+02
1.007800000000000000e+04,2.710000000000000000e+02
1.007900000000000000e+04,2.340000000000000000e+02
1.008000000000000000e+04,2.630000000000000000e+02
1.008100000000000000e+04,2.410000000000000000e+02
1.008200000000000000e+04,2.020000000000000000e+02
1.008300000000000000e+04,2.330000000000000000e+02
1.008400000000000000e+04,2.140000000000000000e+02
1.008500000000000000e+04,2.030000000000000000e+02
1.008600000000000000e+04,2.300000000000000000e+02
1.008700000000000000e+04,1.810000000000000000e+02
1.008800000000000000e+04,2.440000000000000000e+02
1.008900000000000000e+04,2.060000000000000000e+02
1.009000000000000000e+04,2.260000000000000000e+02
1.009100000000000000e+04,1.890000000000000000e+02
1.009200000000000000e+04,1.860000000000000000e+02
1.009300000000000000e+04,2.000000000000000000e+02
1.009400000000000000e+04,2.180000000000000000e+02
1.009500000000000000e+04,1.870000000000000000e+02
1.009600000000000000e+04,1.950000000000000000e+02
1.009700000000000000e+04,2.130000000000000000e+02
1.009800000000000000e+04,1.710000000000000000e+02
1.009900000000000000e+04,1.920000000000000000e+02
1.010000000000000000e+04,1.550000000000000000e+02
1.010100000000000000e+04,1.710000000000000000e+02
1.010200000000000000e+04,1.860000000000000000e+02
1.010300000000000000e+04,1.450000000000000000e+02
1.010400000000000000e+04,1.700000000000000000e+02
1.010500000000000000e+04,1.540000000000000000e+02
1.010600000000000000e+04,1.390000000000000000e+02
1.010700000000000000e+04,1.520000000000000000e+02
1.010800000000000000e+04,1.500000000000000000e+02
1.010900000000000000e+04,1.400000000000000000e+02
1.011000000000000000e+04,1.280000000000000000e+02
1.011100000000000000e+04,1.720000000000000000e+02
1.011200000000000000e+04,1.490000000000000000e+02
1.011300000000000000e+04,1.310000000000000000e+02
1.011400000000000000e+04,1.610000000000000000e+02
1.011500000000000000e+04,1.080000000000000000e+02
1.011600000000000000e+04,1.350000000000000000e+02
1.011700000000000000e+04,1.150000000000000000e+02
1.011800000000000000e+04,1.190000000000000000e+02
1.011900000000000000e+04,1.530000000000000000e+02
1.012000000000000000e+04,1.260000000000000000e+02
1.012100000000000000e+04,1.260000000000000000e+02
1.012200000000000000e+04,1.010000000000000000e+02
1.012300000000000000e+04,1.290000000000000000e+02
1.012400000000000000e+04,1.300000000000000000e+02
1.012500000000000000e+04,8.800000000000000000e+01
1.012600000000000000e+04,1.210000000000000000e+02
1.012700000000000000e+04,9.300000000000000000e+01
1.012800000000000000e+04,1.150000000000000000e+02
1.012900000000000000e+04,9.100000000000000000e+01
1.013000000000000000e+04,1.090000000000000000e+02
1.013100000000000000e+04,9.700000000000000000e+01
1.013200000000000000e+04,9.500000000000000000e+01
1.013300000000000000e+04,1.100000000000000000e+02
1.013400000000000000e+04,9.100000000000000000e+01
1.013500000000000000e+04,1.150000000000000000e+02
1.013600000000000000e+04,9.300000000000000000e+01
1.013700000000000000e+04,1.140000000000000000e+02
1.013800000000000000e+04,1.040000000000000000e+02
1.013900000000000000e+04,1.090000000000000000e+02
1.014000000000000000e+04,9.700000000000000000e+01
1.014100000000000000e+04,1.110000000000000000e+02
1.014200000000000000e+04,9.600000000000000000e+01
1.014300000000000000e+04,9.500000000000000000e+01
1.014400000000000000e+04,8.300000000000000000e+01
1.014500000000000000e+04,8.300000000000000000e+01
1.014600000000000000e+04,6.700000000000000000e+01
